年龄,受教育时间,性别,资产净增,资产损失,一周工作时间,收入水平
76,14,Male,0,0,40,>50K
44,13,Male,15024,0,60,>50K
47,14,Female,0,0,50,<=50K
20,10,Female,0,0,40,<=50K
29,9,Male,0,0,40,<=50K
32,9,Male,7688,0,40,>50K
17,6,Female,34095,0,32,<=50K
30,7,Male,0,0,40,<=50K
31,9,Female,0,0,40,<=50K
42,9,Male,0,0,40,<=50K
24,13,Male,0,0,40,<=50K
38,15,Male,0,0,40,>50K
56,9,Male,0,1887,50,>50K
28,10,Female,4064,0,25,<=50K
36,9,Female,0,0,40,<=50K
53,5,Male,0,0,50,<=50K
56,10,Male,0,0,50,<=50K
49,11,Male,0,0,40,>50K
55,10,Male,0,0,56,<=50K
22,9,Male,0,0,41,<=50K
21,10,Female,0,0,40,<=50K
40,13,Male,0,0,60,<=50K
30,13,Male,0,0,40,<=50K
29,13,Male,0,0,50,>50K
19,10,Male,0,0,35,<=50K
47,13,Female,0,0,40,>50K
20,10,Female,0,1719,28,<=50K
31,12,Male,0,0,40,>50K
35,9,Male,0,0,40,<=50K
39,10,Male,0,0,40,<=50K
28,12,Female,0,0,60,<=50K
24,9,Female,0,1762,40,<=50K
38,9,Male,4386,0,35,<=50K
37,13,Male,0,0,50,<=50K
46,12,Female,0,0,36,<=50K
38,14,Male,0,0,40,>50K
43,9,Male,0,0,60,<=50K
27,11,Female,0,0,35,<=50K
20,10,Male,0,0,20,<=50K
49,10,Male,0,0,40,>50K
61,9,Male,0,0,40,<=50K
27,10,Female,0,0,40,<=50K
19,10,Male,0,0,30,<=50K
45,11,Female,0,1564,40,>50K
70,10,Male,0,0,40,<=50K
31,9,Female,0,0,30,<=50K
22,10,Male,0,0,24,<=50K
36,9,Female,0,0,24,<=50K
64,7,Male,0,2179,40,<=50K
43,10,Female,0,0,40,<=50K
47,10,Female,0,0,38,<=50K
34,9,Female,0,0,40,<=50K
33,13,Female,0,0,40,<=50K
21,9,Male,0,0,35,<=50K
52,9,Male,0,0,45,>50K
48,9,Male,0,0,46,<=50K
23,13,Male,0,0,40,<=50K
71,10,Male,0,1816,2,<=50K
29,9,Male,0,0,60,<=50K
42,13,Male,0,0,50,<=50K
68,2,Female,0,0,20,<=50K
25,9,Female,0,0,40,<=50K
44,14,Female,0,0,40,<=50K
28,9,Female,0,0,40,<=50K
45,14,Male,0,0,40,>50K
36,10,Female,0,0,40,<=50K
39,12,Male,0,0,42,<=50K
46,14,Male,0,0,40,<=50K
18,7,Male,0,0,16,<=50K
66,11,Female,0,0,20,<=50K
27,9,Male,0,1980,40,<=50K
28,9,Male,0,0,40,<=50K
51,10,Male,0,1977,40,>50K
27,13,Male,0,0,50,<=50K
28,13,Male,0,0,40,>50K
27,9,Female,0,0,25,<=50K
21,9,Male,0,0,40,<=50K
34,9,Male,0,0,40,<=50K
18,9,Male,0,0,12,<=50K
33,13,Male,0,0,65,<=50K
44,10,Male,0,0,38,>50K
43,10,Female,0,0,40,<=50K
30,10,Male,0,0,45,<=50K
40,4,Male,0,0,40,>50K
37,10,Male,0,0,42,>50K
34,9,Male,0,0,40,<=50K
41,13,Female,0,0,40,<=50K
53,13,Female,0,0,50,<=50K
31,14,Female,0,0,50,<=50K
58,16,Male,0,0,1,>50K
38,10,Female,0,0,28,<=50K
24,10,Male,0,0,40,<=50K
41,13,Male,0,0,40,<=50K
47,10,Male,0,0,45,<=50K
41,13,Male,0,0,24,<=50K
23,3,Male,0,0,40,<=50K
36,10,Male,0,0,40,<=50K
40,14,Female,14084,0,55,>50K
35,14,Male,7298,0,40,>50K
24,9,Male,0,0,40,<=50K
26,14,Female,0,1876,40,<=50K
19,9,Male,0,0,40,<=50K
51,13,Male,0,0,50,>50K
42,10,Female,0,1340,40,<=50K
37,9,Female,0,0,35,<=50K
18,7,Female,0,0,40,<=50K
36,13,Male,7298,0,36,>50K
35,9,Male,0,0,60,<=50K
58,9,Female,15024,0,35,>50K
17,7,Female,0,0,12,<=50K
44,9,Male,0,0,40,<=50K
37,9,Male,0,0,40,>50K
35,10,Female,0,0,40,<=50K
60,9,Male,0,0,40,<=50K
54,4,Male,0,0,40,>50K
37,13,Male,0,0,60,>50K
50,12,Female,0,0,40,<=50K
38,13,Male,0,0,50,<=50K
45,13,Male,0,0,55,<=50K
25,6,Male,0,0,40,<=50K
31,10,Male,0,0,40,<=50K
64,2,Male,0,0,40,<=50K
90,9,Male,0,2206,40,<=50K
54,9,Male,0,0,20,<=50K
53,1,Female,0,0,35,<=50K
18,9,Female,0,0,40,<=50K
60,6,Female,0,0,10,<=50K
66,9,Male,1409,0,50,<=50K
75,11,Female,0,0,20,<=50K
65,9,Female,0,0,40,<=50K
35,7,Male,3674,0,40,<=50K
41,9,Female,0,0,38,<=50K
25,10,Male,0,0,42,<=50K
33,10,Female,0,0,40,<=50K
28,15,Male,0,0,55,>50K
59,9,Male,0,0,40,<=50K
40,10,Female,0,0,38,<=50K
41,13,Male,0,0,50,>50K
38,14,Male,0,0,70,>50K
23,9,Male,0,0,40,<=50K
40,13,Male,0,0,40,>50K
41,9,Female,0,0,20,<=50K
24,12,Male,0,0,50,<=50K
20,10,Male,0,0,20,<=50K
38,10,Male,0,1741,40,<=50K
56,9,Male,0,0,35,<=50K
58,9,Male,0,0,45,>50K
32,9,Female,0,0,34,<=50K
40,12,Male,0,1977,60,>50K
45,9,Male,0,0,40,<=50K
41,15,Female,0,0,40,>50K
42,13,Female,0,0,40,<=50K
59,6,Female,0,0,30,<=50K
19,10,Male,0,0,40,<=50K
58,10,Male,0,0,20,<=50K
42,9,Male,0,0,40,>50K
20,9,Female,0,0,40,<=50K
32,9,Female,0,0,30,<=50K
45,11,Female,0,0,45,<=50K
50,4,Male,0,0,40,<=50K
36,13,Female,0,0,40,<=50K
45,9,Male,0,0,60,<=50K
17,7,Male,0,0,12,<=50K
59,10,Male,4064,0,40,<=50K
26,7,Male,0,0,40,<=50K
37,10,Male,0,0,75,>50K
19,10,Male,0,0,24,<=50K
64,9,Male,0,0,40,>50K
33,13,Female,0,0,45,<=50K
33,9,Female,0,0,40,>50K
61,9,Male,0,0,40,>50K
17,5,Male,1055,0,24,<=50K
50,14,Male,2407,0,98,<=50K
27,14,Male,0,0,35,<=50K
30,9,Female,0,0,40,<=50K
43,9,Male,0,0,40,<=50K
44,10,Male,7298,0,40,>50K
35,10,Female,0,0,40,<=50K
25,10,Female,0,0,40,<=50K
24,10,Female,7298,0,48,>50K
22,13,Female,0,0,15,<=50K
42,10,Male,5178,0,40,>50K
34,12,Female,0,0,45,<=50K
60,13,Female,0,0,42,<=50K
21,9,Male,0,0,40,<=50K
57,14,Male,15024,0,40,>50K
41,15,Male,0,0,60,>50K
50,10,Male,0,0,45,<=50K
25,13,Female,0,0,40,<=50K
50,4,Male,0,0,40,<=50K
36,13,Male,0,0,45,<=50K
31,9,Female,0,0,40,<=50K
29,13,Male,0,0,56,<=50K
21,10,Male,0,0,45,<=50K
27,13,Female,0,0,40,<=50K
65,9,Male,0,0,16,<=50K
37,13,Female,0,0,60,<=50K
39,14,Female,3464,0,40,<=50K
24,9,Male,0,0,40,<=50K
38,9,Male,0,0,80,<=50K
48,13,Male,7688,0,40,>50K
21,10,Female,0,0,25,<=50K
31,9,Male,0,0,45,>50K
55,9,Male,4386,0,40,>50K
24,10,Female,0,0,40,<=50K
43,9,Female,0,0,40,<=50K
26,12,Male,0,0,45,<=50K
46,12,Female,0,0,33,<=50K
35,12,Male,0,0,40,>50K
41,10,Male,0,0,54,>50K
26,13,Male,0,0,40,<=50K
34,14,Male,7298,0,35,>50K
19,10,Female,0,0,25,<=50K
36,13,Female,0,0,40,>50K
22,10,Male,0,0,15,<=50K
24,10,Male,0,0,40,<=50K
77,10,Male,0,0,40,<=50K
22,3,Female,0,0,40,<=50K
29,10,Female,0,0,40,<=50K
62,9,Female,0,0,24,<=50K
39,9,Male,0,0,40,<=50K
43,10,Male,0,1485,50,<=50K
35,9,Male,0,0,45,<=50K
29,7,Female,0,0,40,<=50K
76,14,Male,0,0,10,<=50K
63,9,Male,0,0,45,<=50K
23,11,Female,0,0,15,<=50K
43,10,Female,0,1887,50,>50K
58,9,Male,0,0,40,<=50K
66,9,Male,2050,0,55,<=50K
41,10,Male,0,0,45,<=50K
26,13,Male,0,0,40,<=50K
47,11,Male,0,0,40,<=50K
55,6,Male,0,0,40,<=50K
53,9,Male,0,0,40,<=50K
17,3,Male,0,0,48,<=50K
30,9,Male,0,0,40,<=50K
49,14,Male,0,0,60,<=50K
19,9,Male,0,0,30,<=50K
45,9,Male,0,0,40,<=50K
26,12,Male,0,0,40,<=50K
38,11,Male,7298,0,40,>50K
36,9,Male,7298,0,40,>50K
33,9,Male,0,0,20,<=50K
22,10,Female,0,0,40,<=50K
43,13,Male,0,0,42,<=50K
67,7,Male,0,0,8,<=50K
30,11,Female,0,0,40,<=50K
56,12,Male,0,0,25,<=50K
31,13,Male,0,0,25,<=50K
33,13,Male,0,0,40,>50K
26,9,Male,0,0,40,<=50K
33,13,Male,0,0,40,>50K
46,7,Male,0,0,30,<=50K
59,13,Male,0,0,40,>50K
38,9,Male,0,0,40,>50K
65,7,Male,0,0,40,<=50K
40,11,Male,0,0,40,>50K
42,9,Female,0,0,35,<=50K
26,5,Male,0,0,40,<=50K
36,6,Female,0,0,24,<=50K
62,14,Male,0,0,40,>50K
43,13,Male,0,0,45,<=50K
43,13,Male,0,1564,45,>50K
22,9,Male,0,0,55,<=50K
28,9,Male,0,0,40,<=50K
56,10,Male,0,0,45,<=50K
22,12,Female,0,0,15,<=50K
57,13,Female,0,0,45,>50K
39,9,Female,0,0,40,<=50K
26,10,Female,0,0,15,<=50K
17,7,Male,0,0,10,<=50K
40,11,Male,0,0,38,>50K
45,9,Male,0,0,40,<=50K
44,9,Male,0,0,40,<=50K
20,10,Female,0,0,10,<=50K
33,9,Female,0,0,40,<=50K
23,10,Male,0,0,40,<=50K
46,14,Male,0,0,30,<=50K
38,9,Male,0,0,50,<=50K
54,9,Male,0,0,40,<=50K
46,3,Female,0,2339,45,<=50K
25,10,Male,0,0,40,<=50K
46,10,Female,0,0,40,<=50K
36,10,Female,0,0,40,<=50K
23,9,Female,0,0,25,<=50K
29,9,Male,0,0,40,<=50K
44,10,Female,0,2415,6,>50K
19,10,Female,0,0,16,<=50K
19,9,Female,0,0,40,<=50K
35,9,Female,0,0,40,>50K
27,13,Male,0,0,50,<=50K
46,12,Male,0,0,40,<=50K
34,13,Male,7688,0,45,>50K
34,9,Female,0,0,35,<=50K
44,10,Male,0,0,40,<=50K
45,10,Female,0,0,40,<=50K
20,9,Female,0,0,35,<=50K
25,13,Male,0,0,55,>50K
52,13,Male,0,0,50,>50K
20,10,Male,0,0,40,<=50K
28,10,Female,0,0,40,<=50K
50,13,Male,0,0,40,>50K
34,11,Female,0,0,64,<=50K
28,4,Male,0,2179,40,<=50K
41,14,Male,0,1977,65,>50K
28,9,Male,0,0,40,<=50K
46,9,Male,0,0,25,<=50K
28,10,Female,0,1887,40,>50K
32,10,Male,0,0,50,<=50K
41,10,Female,0,0,24,<=50K
24,9,Female,0,0,40,<=50K
33,10,Female,0,0,40,<=50K
46,16,Male,15024,0,60,>50K
31,10,Male,0,0,40,<=50K
35,8,Male,0,0,50,>50K
52,2,Male,0,0,40,<=50K
30,7,Female,0,0,19,<=50K
34,7,Male,0,0,40,<=50K
34,9,Female,0,0,40,<=50K
20,10,Male,0,0,30,<=50K
17,7,Male,2176,0,18,<=50K
32,13,Female,0,0,40,>50K
29,9,Male,0,0,40,<=50K
33,6,Female,0,0,35,<=50K
25,9,Male,0,0,60,<=50K
36,14,Male,0,1408,40,<=50K
23,9,Male,0,0,72,<=50K
63,9,Male,0,0,40,>50K
47,14,Male,0,0,40,<=50K
80,9,Male,0,0,24,<=50K
17,7,Male,0,0,40,<=50K
40,13,Female,2174,0,40,<=50K
30,12,Female,0,0,25,>50K
27,10,Male,0,1980,40,<=50K
33,14,Male,0,0,50,>50K
34,9,Male,594,0,60,<=50K
34,10,Female,0,0,40,<=50K
23,10,Male,0,0,40,<=50K
42,10,Female,0,0,40,<=50K
29,13,Male,0,0,40,<=50K
45,9,Female,0,0,28,<=50K
24,9,Male,0,0,40,<=50K
44,10,Male,0,0,40,>50K
27,5,Male,0,0,40,<=50K
20,10,Male,0,0,35,<=50K
44,9,Female,0,0,40,<=50K
51,9,Male,0,0,40,<=50K
20,9,Male,0,0,40,<=50K
17,7,Female,0,0,5,<=50K
19,9,Female,0,0,40,<=50K
45,10,Male,0,0,55,>50K
60,9,Male,0,0,40,>50K
42,12,Male,0,0,40,>50K
44,9,Female,0,0,40,>50K
40,11,Male,0,0,40,>50K
30,9,Female,0,0,40,<=50K
38,10,Male,0,0,50,<=50K
23,9,Male,0,0,60,<=50K
32,10,Male,0,0,40,<=50K
44,12,Male,0,0,40,<=50K
54,9,Male,0,0,40,<=50K
32,13,Male,0,0,50,<=50K
50,2,Male,0,0,40,<=50K
24,13,Female,0,0,20,<=50K
37,9,Female,0,0,60,<=50K
52,9,Male,0,0,40,<=50K
38,10,Male,0,0,40,<=50K
49,14,Male,0,1977,45,>50K
30,13,Female,0,0,16,>50K
60,10,Male,0,0,40,>50K
22,10,Male,0,0,40,<=50K
35,9,Male,0,0,40,<=50K
30,9,Male,0,0,60,<=50K
67,11,Female,0,0,24,<=50K
46,13,Female,0,0,40,<=50K
17,5,Male,0,0,6,<=50K
22,10,Male,0,0,30,<=50K
27,6,Male,0,0,40,<=50K
23,9,Female,0,0,35,<=50K
33,12,Male,0,0,45,<=50K
43,10,Male,0,0,20,<=50K
28,13,Male,0,0,20,<=50K
41,9,Female,0,0,40,<=50K
52,8,Male,594,0,40,<=50K
25,10,Female,0,0,20,<=50K
63,2,Male,0,0,35,<=50K
59,9,Male,0,0,45,<=50K
45,13,Female,0,0,40,<=50K
38,13,Male,15024,0,60,>50K
40,9,Female,0,0,35,<=50K
46,9,Male,0,0,40,<=50K
35,12,Female,0,0,60,<=50K
34,9,Female,0,0,25,<=50K
33,13,Male,0,0,20,<=50K
41,9,Female,0,0,36,<=50K
20,10,Male,0,0,40,<=50K
23,3,Male,0,0,40,<=50K
26,10,Female,0,0,35,<=50K
72,9,Male,0,0,20,<=50K
23,9,Male,0,0,40,<=50K
62,9,Male,0,0,40,<=50K
52,10,Male,0,0,40,<=50K
58,10,Female,0,0,42,<=50K
25,13,Female,0,0,40,<=50K
24,13,Male,0,0,40,<=50K
19,10,Male,0,0,8,<=50K
43,10,Male,0,0,40,<=50K
47,9,Female,0,0,40,<=50K
39,9,Female,0,0,40,<=50K
49,11,Male,0,1380,42,<=50K
53,3,Female,0,0,30,<=50K
32,11,Male,0,0,45,<=50K
34,10,Male,0,0,50,>50K
28,9,Male,0,0,45,<=50K
57,11,Female,0,0,38,<=50K
25,10,Female,0,0,20,<=50K
20,10,Male,0,0,24,<=50K
21,10,Female,0,0,35,<=50K
34,13,Male,0,0,50,>50K
38,13,Male,15024,0,80,>50K
50,9,Male,7688,0,50,>50K
24,10,Male,0,0,50,<=50K
37,10,Male,0,0,45,>50K
44,10,Male,0,0,58,>50K
28,10,Female,0,0,40,<=50K
42,13,Male,0,0,40,>50K
74,10,Female,0,0,9,<=50K
38,9,Male,0,0,50,<=50K
44,14,Male,0,0,40,<=50K
44,7,Female,0,0,46,<=50K
26,9,Male,0,0,40,<=50K
36,9,Male,0,0,40,<=50K
41,12,Female,0,0,50,>50K
67,15,Male,20051,0,48,>50K
39,8,Male,0,0,50,<=50K
57,2,Female,0,0,30,<=50K
29,11,Male,0,0,40,<=50K
31,13,Female,0,0,45,<=50K
34,9,Female,0,0,40,<=50K
44,10,Male,0,0,40,<=50K
29,16,Male,0,0,40,<=50K
30,10,Female,0,0,40,<=50K
27,9,Male,0,0,40,<=50K
27,10,Male,0,0,50,<=50K
32,9,Female,0,0,45,<=50K
58,6,Female,0,0,8,<=50K
35,10,Male,0,0,40,<=50K
21,9,Male,0,0,36,<=50K
28,10,Male,0,0,40,<=50K
46,10,Male,0,0,50,<=50K
36,9,Female,0,0,40,<=50K
72,7,Female,0,0,40,<=50K
35,9,Female,0,0,40,<=50K
33,11,Female,0,0,40,>50K
69,7,Female,0,0,40,<=50K
35,9,Male,0,0,40,<=50K
31,9,Female,0,0,20,<=50K
34,9,Female,0,0,32,<=50K
30,7,Male,0,0,40,<=50K
28,13,Male,0,0,55,<=50K
54,13,Male,0,0,35,>50K
47,10,Male,0,0,50,>50K
24,9,Female,0,0,40,<=50K
52,13,Male,0,0,60,>50K
20,9,Male,0,0,48,<=50K
43,14,Male,5013,0,45,<=50K
45,4,Female,0,0,40,<=50K
29,9,Male,0,0,35,<=50K
47,14,Male,0,0,42,<=50K
24,9,Male,0,0,40,<=50K
51,9,Male,0,0,40,<=50K
17,7,Male,0,0,12,<=50K
37,11,Male,0,1977,40,>50K
27,16,Female,0,0,70,<=50K
29,13,Male,0,0,40,>50K
18,8,Male,0,0,25,<=50K
36,12,Female,0,0,35,<=50K
58,13,Female,0,0,40,<=50K
26,10,Male,0,0,45,<=50K
65,10,Male,0,0,30,>50K
57,9,Male,0,0,40,>50K
59,9,Male,0,0,40,<=50K
27,9,Male,0,0,40,<=50K
31,13,Male,0,0,40,<=50K
21,10,Female,0,0,24,<=50K
29,10,Male,0,0,60,<=50K
18,7,Male,0,0,40,<=50K
52,6,Male,0,1887,47,>50K
57,13,Male,0,0,80,<=50K
42,9,Male,0,0,40,<=50K
55,9,Female,0,0,40,<=50K
60,4,Male,0,0,48,>50K
31,13,Male,7688,0,40,>50K
23,13,Female,0,0,40,<=50K
27,9,Male,0,0,40,<=50K
23,10,Female,0,0,25,<=50K
42,15,Male,0,1902,50,>50K
25,10,Male,2174,0,40,<=50K
49,13,Female,0,0,45,<=50K
32,13,Male,0,0,40,<=50K
19,10,Male,0,0,28,<=50K
60,4,Female,0,0,40,<=50K
42,5,Male,0,0,40,<=50K
35,12,Male,0,0,40,<=50K
48,9,Female,0,0,37,<=50K
51,14,Male,0,0,40,>50K
29,9,Male,0,0,40,<=50K
36,9,Male,0,0,40,<=50K
17,6,Female,0,0,21,<=50K
52,14,Female,6849,0,60,<=50K
24,9,Male,0,0,40,<=50K
24,9,Male,0,0,50,<=50K
26,13,Male,1055,0,40,<=50K
27,13,Female,0,0,20,<=50K
39,9,Male,0,0,60,<=50K
30,9,Male,0,0,45,<=50K
50,9,Male,0,0,32,<=50K
52,13,Male,0,0,55,<=50K
46,15,Male,15024,0,45,>50K
23,13,Female,0,0,20,<=50K
45,7,Female,0,0,20,<=50K
65,5,Female,0,0,24,<=50K
29,11,Male,0,0,55,<=50K
47,5,Male,0,0,40,<=50K
30,9,Male,0,0,60,<=50K
34,9,Male,0,0,45,>50K
38,9,Male,0,0,64,<=50K
33,10,Male,0,0,40,>50K
49,13,Male,0,0,26,>50K
47,10,Female,0,0,40,<=50K
49,6,Female,0,0,40,<=50K
43,10,Male,15024,0,60,>50K
30,13,Female,0,0,40,>50K
58,9,Male,0,0,60,<=50K
19,9,Female,0,0,14,<=50K
21,13,Male,0,0,40,<=50K
33,13,Male,15024,0,60,>50K
47,3,Male,0,0,50,<=50K
52,16,Male,0,0,60,>50K
26,9,Male,0,0,55,<=50K
60,9,Male,0,0,40,<=50K
21,10,Male,0,0,40,<=50K
36,10,Male,5178,0,50,>50K
31,10,Male,0,0,45,<=50K
50,16,Male,0,0,40,>50K
31,9,Female,0,0,40,<=50K
71,9,Male,0,0,15,<=50K
58,9,Male,0,0,50,<=50K
30,13,Male,0,0,40,>50K
20,10,Male,0,0,20,<=50K
24,9,Male,4101,0,50,<=50K
35,16,Male,0,0,40,>50K
38,10,Female,0,0,45,<=50K
27,9,Female,0,0,32,<=50K
29,10,Female,0,0,40,<=50K
70,5,Female,1111,0,15,<=50K
34,9,Male,0,0,45,<=50K
44,4,Male,0,0,35,<=50K
43,9,Male,0,0,40,>50K
44,8,Male,0,0,40,>50K
35,14,Male,0,0,60,<=50K
27,10,Male,0,0,40,<=50K
43,14,Male,0,0,38,<=50K
20,10,Female,0,0,25,<=50K
42,12,Female,8614,0,40,>50K
27,10,Male,3411,0,40,<=50K
42,9,Male,0,0,40,>50K
20,7,Female,0,1762,40,<=50K
24,5,Male,0,1721,40,<=50K
48,10,Male,0,0,40,<=50K
17,7,Female,0,0,20,<=50K
17,7,Male,0,0,10,<=50K
33,13,Male,0,0,40,>50K
50,9,Male,0,0,50,>50K
22,9,Female,2597,0,40,<=50K
17,8,Male,0,0,16,<=50K
32,10,Male,0,0,40,<=50K
31,9,Male,0,0,45,<=50K
58,9,Male,0,0,50,<=50K
29,9,Male,0,0,48,<=50K
37,11,Male,0,0,40,>50K
34,9,Male,0,0,40,>50K
23,10,Male,0,0,40,<=50K
18,7,Female,0,0,5,<=50K
34,9,Female,0,0,40,<=50K
66,4,Male,0,0,4,<=50K
45,13,Female,0,0,55,<=50K
41,14,Male,0,0,35,<=50K
26,9,Male,0,0,30,<=50K
54,10,Male,0,0,40,<=50K
24,10,Female,0,0,45,<=50K
42,10,Male,0,0,50,<=50K
20,10,Male,0,0,20,<=50K
23,13,Female,0,0,20,<=50K
25,12,Male,0,0,45,<=50K
35,14,Male,0,0,60,>50K
31,14,Male,0,1902,40,>50K
30,13,Female,0,0,40,<=50K
19,9,Female,0,0,20,<=50K
36,13,Male,0,0,50,<=50K
31,13,Female,0,1380,40,<=50K
21,10,Male,0,0,30,<=50K
31,10,Male,0,0,40,<=50K
46,16,Female,25236,0,65,>50K
44,13,Female,0,0,50,>50K
40,8,Male,0,0,40,<=50K
45,10,Male,0,0,40,<=50K
60,9,Male,0,0,35,<=50K
18,7,Male,0,0,25,<=50K
28,13,Male,0,0,40,<=50K
36,10,Female,0,0,40,<=50K
36,13,Male,0,0,40,<=50K
40,11,Male,4386,0,40,<=50K
36,13,Female,0,0,35,<=50K
31,9,Female,0,0,40,<=50K
33,9,Male,0,0,40,<=50K
19,9,Female,0,0,40,<=50K
22,10,Female,0,0,15,<=50K
34,13,Male,0,0,45,>50K
33,9,Male,0,0,40,<=50K
41,9,Male,0,2051,60,<=50K
29,13,Male,4650,0,40,<=50K
50,9,Male,0,0,42,>50K
42,13,Male,7298,0,45,>50K
43,13,Male,0,0,40,>50K
44,9,Female,0,0,40,<=50K
20,10,Female,0,0,20,<=50K
31,9,Male,0,0,40,<=50K
65,7,Male,9386,0,59,>50K
23,10,Female,0,0,24,<=50K
55,10,Female,0,0,40,<=50K
26,11,Male,0,2377,45,<=50K
25,11,Female,0,0,15,<=50K
45,10,Female,0,0,40,<=50K
35,10,Male,2407,0,40,<=50K
36,10,Female,0,0,36,<=50K
43,13,Male,0,0,50,<=50K
56,9,Female,594,0,20,<=50K
42,13,Male,0,0,40,>50K
19,10,Female,0,0,25,<=50K
55,9,Male,0,0,72,<=50K
42,14,Female,14084,0,50,>50K
26,11,Male,0,0,40,<=50K
17,8,Male,0,0,20,<=50K
42,13,Female,0,0,40,>50K
55,9,Male,7688,0,40,>50K
32,10,Female,0,0,40,<=50K
29,7,Male,0,0,40,<=50K
46,13,Male,0,0,37,<=50K
29,13,Male,7688,0,40,>50K
22,13,Male,0,0,20,<=50K
58,6,Male,0,0,40,<=50K
23,9,Male,0,0,50,<=50K
39,9,Male,0,0,40,<=50K
27,11,Male,0,0,38,<=50K
54,9,Male,0,0,40,>50K
33,13,Female,0,0,45,<=50K
46,9,Female,0,0,40,>50K
37,9,Male,0,0,40,<=50K
36,9,Female,0,0,18,<=50K
59,9,Female,0,0,38,>50K
34,9,Male,0,0,40,<=50K
53,16,Male,0,0,70,>50K
51,13,Male,0,0,55,>50K
32,6,Female,0,0,42,<=50K
31,10,Male,0,0,40,<=50K
22,10,Female,0,0,30,<=50K
47,13,Female,0,0,50,<=50K
32,9,Male,0,0,40,<=50K
26,10,Female,0,0,38,<=50K
37,3,Male,0,0,32,<=50K
31,9,Male,0,0,55,<=50K
37,11,Female,0,0,24,>50K
55,9,Male,0,0,38,<=50K
23,11,Male,0,0,56,<=50K
36,10,Female,0,0,40,<=50K
34,14,Male,0,0,40,<=50K
